channel,core_eval_slice,0,1
email,test_claude_binary,1650,1650
email,test_claude_holdout,0,1650
email,test_seen,660,660
email,train,4950,4950
email,val,990,990
qa,test_seen,82,82
qa,train,599,599
qa,val,119,119
sms,test_claude_binary,196,196
sms,test_claude_holdout,0,409
sms,test_seen,166,166
sms,train,1228,1228
sms,val,244,244
