exp_id,name,test_seen__roc_auc,test_claude_binary__roc_auc,delta_roc_seen_minus_cb
18,lr_lexical_diversity_only,0.6570383910031244,0.34576751701139413,0.3112708739917303
1,lr_l2_c1,0.9413825224630791,0.8243043140919021,0.117078208371177
2,lr_l2_c01,0.9310788585068603,0.816111143064739,0.11496771544212137
17,lr_structural_subset,0.888748326185255,0.7747312276023002,0.11401709858295483
5,decision_tree,0.9116607880999049,0.8004527079134529,0.11120808018645201
14,sgd_log,0.9354598866657611,0.8260174850251606,0.10944240164060048
16,knn_15,0.9832885365522327,0.8751769513656653,0.10811158518656738
13,adaboost,0.9838379844359487,0.8859315154197122,0.09790646901623656
15,bagging_dt,0.9780330008344815,0.888997938795369,0.08903506203911249
8,extra_trees,0.9936231296939588,0.9060080124047896,0.08761511728916926
3,linearsvc_calibrated,0.945966106464321,0.8623101220876388,0.0836559843766822
6,rf_constrained,0.9893373149100507,0.9120020565094039,0.07733525840064681
12,gradient_boosting,0.9879327660152537,0.911257569586198,0.07667519642905574
7,rf_less_constrained,0.9911166527586408,0.9196728835384168,0.071443769220224
9,xgb_conservative,0.9894810446544663,0.9226194319010151,0.06686161275345115
4,ridge_classifier,0.9316574162122302,0.8657766668349124,0.0658807493773178
11,hist_gradient_boosting,0.9941925905800617,0.9331156117469882,0.0610769788330735
10,xgb_richer,0.9946183217217489,0.9358796331619185,0.05873868855983044
19,xgb_full_ablation_capstone,0.9946183217217489,0.9358796331619185,0.05873868855983044
